,city_name,Latitude,Longitude,Wind Speed,Humidity,Temperature,Cloudiness,Country Name,Date
0,necochea,-38.55,-58.74,18.99,72,54.0,11,AR,1603935391
1,mataura,-46.19,168.86,4.0,68,63.0,71,NZ,1603935391
2,severo-kurilsk,50.68,156.12,7.54,78,44.71,97,RU,1603935391
3,plouzane,48.38,-4.62,15.39,87,55.58,100,FR,1603935391
4,tigil,57.8,158.67,8.95,66,40.64,0,RU,1603935391
5,busselton,-33.65,115.33,10.6,36,72.0,0,AU,1603935392
6,saint-philippe,-21.36,55.77,5.82,68,69.8,75,RE,1603935392
7,sainte-adele,45.95,-74.13,12.88,100,39.99,43,CA,1603935107
8,solnechnyy,50.72,136.63,8.93,89,34.32,98,RU,1603935392
9,bethel,41.37,-73.41,5.26,96,48.99,100,US,1603935392
10,carnarvon,-24.87,113.63,5.23,41,79.29,46,AU,1603935392
11,bathsheba,13.22,-59.52,24.52,82,80.83,100,BB,1603935392
12,lasa,46.62,10.7,1.86,100,43.0,97,IT,1603935392
13,bredasdorp,-34.53,20.04,2.24,63,60.8,100,ZA,1603935248
14,huancabamba,-5.24,-79.45,3.15,76,58.77,98,PE,1603935393
15,serpa,37.95,-7.6,4.76,85,59.07,0,PT,1603935393
16,nikolskoye,59.7,30.79,5.99,97,46.0,100,RU,1603935393
17,ushuaia,-54.8,-68.3,5.1,86,39.11,100,AR,1603935393
18,diffa,13.32,12.61,8.16,19,78.37,0,NE,1603935393
19,arraial do cabo,-22.97,-42.03,8.68,94,74.98,3,BR,1603935176
20,hobart,-42.88,147.33,4.83,61,66.0,45,AU,1603935393
21,dongen,51.63,4.94,7.0,82,50.0,27,NL,1603935394
22,victoria,22.29,114.16,5.99,65,77.0,94,HK,1603935394
23,faya,18.39,42.45,4.92,46,49.66,0,SA,1603935394
24,san quintin,30.48,-115.95,8.72,55,63.86,0,MX,1603935394
25,veraval,20.9,70.37,10.02,67,75.88,0,IN,1603935394
26,katsuura,35.13,140.3,3.0,49,71.01,0,JP,1603935394
27,varhaug,58.61,5.65,7.38,96,44.01,82,NO,1603935394
28,yellowknife,62.46,-114.35,5.93,96,21.99,98,CA,1603935282
29,ancud,-41.87,-73.82,5.99,93,46.99,51,CL,1603935395
30,qarqin,37.42,66.04,4.09,73,34.12,0,AF,1603935395
31,port alfred,-33.59,26.89,2.13,83,67.08,99,ZA,1603935395
32,hithadhoo,-0.6,73.08,10.31,73,83.25,0,MV,1603935395
33,vaini,-21.2,-175.2,20.71,73,72.97,14,TO,1603935395
34,guerrero negro,27.98,-114.06,15.66,52,67.78,0,MX,1603935395
35,saquena,-4.67,-73.52,3.53,88,78.01,75,PE,1603935395
36,geraldton,-28.77,114.6,5.99,38,82.0,0,AU,1603935395
37,lagoa,39.05,-27.98,14.61,82,66.56,8,PT,1603935396
38,husavik,66.04,-17.34,10.29,90,41.0,20,IS,1603935396
39,rikitea,-23.12,-134.97,10.85,81,74.97,85,PF,1603935396
40,jamestown,42.1,-79.24,3.85,92,43.0,100,US,1603935395
41,chuy,-33.7,-53.46,10.36,78,55.26,55,UY,1603935396
